     0m    15m   30m   45m   60m   75m   90m   105m  120m  135m
1    62    45    53    54    64    69    63    56    68    68
2    61    66    64    50    68    53    54    62    57    59
3    66    70    58    63    58    62    64    54    63    66
4    61    77    54    53    43    69    69    59    69    62
5    63    61    64    61    88    48    41    49    49    56
6    58    58    65    64    68    78    72    47    37    69
7    42    61    60    82    59    55    62    62    61    54
8    48    63    47    50    73    56    59    69    57    70
9    57    70    66    58    51    50    57    56    56    70
10   57    71    55    70    55    62    70    56    56    80
